"","x"
"1291","ACVRL1"
"1292","CXADRP3"
"1293","GATAD1"
"1294","VAV3"
"1295","VAV2"
"1296","FOXN4"
"1297","TP63"
"1298","NR6A1"
"1299","MARS2"
"1300","PYGO1"
"1301","PYGO2"
"1302","CRHBP"
"1303","FERMT2"
"1304","FERMT3"
"1305","FERMT1"
"1306","CRNKL1"
"1307","SYNGR3"
"1308","WDR90"
"1309","WDR97"
"1310","HCG11"
"1311","LOC100128288"
"1312","PRPH2"
"1313","C9orf64"
"1314","USP6NL"
"1315","GRIN2D"
"1316","USP12"
"1317","USP13"
"1318","USP10"
"1319","USP11"
"1320","FYCO1"
"1321","USP14"
"1322","USP15"
"1323","USP19"
"1324","INPP1"
"1325","IFFO1"
"1326","CRKL"
"1327","UBAC2"
"1328","MT1M"
"1329","SUPT5H"
"1330","FXR1"
"1331","FXR2"
"1332","CYP4X1"
"1333","RHBDD2"
"1334","RHBDD3"
"1335","RHBDD1"
"1336","KLC1"
"1337","KLC2"
"1338","KLC3"
"1339","ARPC5L"
"1340","CHURC1"
"1341","CHCHD2"
"1342","CHCHD3"
"1343","RPL7A"
"1344","CHCHD6"
"1345","CHCHD7"
"1346","CHCHD4"
"1347","CHCHD5"
"1348","OVCA2"
"1349","ZNF519"
"1350","ZNF512"
"1351","ZNF513"
"1352","ZNF510"
"1353","ZNF511"
"1354","ZNF517"
"1355","ZNF514"
"1356","TSPYL4"
"1357","TSPYL5"
"1358","TSPYL1"
"1359","TSPYL2"
"1360","XIRP1"
"1361","CTDP1"
"1362","CDH17"
"1363","TESMIN"
"1364","NTN3"
